1;Spaß;Fun;2018-06-28 18:49:22
2;bezaubernd, liebenswert;adorable;2018-06-29 12:20:13
3;fertig;done;2018-06-30 21:54:53
4;quasseln;verbose;2018-07-02 12:24:22
5;Zwickmühle, Sumpf;quagmire;2018-07-02 16:29:08
6;Mangeln, fehlen, benötigen;lack;2018-07-02 16:29:23
7;gezielt, bezweckt;aimed;2018-07-02 16:29:36
8;angemessen, passend, geeignet, sachgerecht;appropiately;2018-07-02 16:30:22
9;würdigen, schätzen, annerkennen;appreciate;2018-07-02 16:30:44
10;fällig, passend, nötig, gebührend;due;2018-07-02 16:31:20
11;Genauigkeit, Exaktheit, Sorgfalt;accuracy;2018-07-03 05:48:02
12;Zusammenhang, Zusammenhalt, Bindekraft;cohesion;2018-07-03 05:48:32
13;Fragebogen, Umfrage;questionnaire;2018-07-03 05:48:57
14;Treffer, treffen, schlagen;hit;2018-07-03 10:57:58
15;durchdacht, aufwendig, kompliziert, kunstvoll;elaborate;2018-07-03 12:13:34
16;erschlagen, umbringen, erledigen;slay;2018-07-03 12:13:47
17;ausradiert, ausgerottet, eliminiert;eradicated;2018-07-03 12:14:08
18;belehrend;edifying;2018-07-03 12:14:14
19;Übertreibung, Überzeichnung, Überspitzung;exaggeration;2018-07-03 12:14:27
20;Brüchigkeit, Sprödigkeit, Zerbrechlichkeit;brittleness;2018-07-03 12:14:49
21;proben, einstudieren, einüben;rehearse;2018-07-03 12:15:00
22;Verbindungen, Zusammensetzung;compounds;2018-07-03 12:15:10
23;Filter, Versickerung, Durchfluss, Perkolation;percolation;2018-07-03 12:15:21
24;löslich (alcohol-soluble = alkohollöslich);soluble;2018-07-03 12:15:42
25;letzte, jünger, letztgenannt;latter;2018-07-03 12:15:55
26;der Schock, Ruck, schütteln, anstoßen;jolt;2018-07-03 12:16:19
27;gedrängt, kurz (gefasst), präzise;concise;2018-07-03 12:16:37
28;stampfen;stomp;2018-07-03 12:16:42
29;unermüdlich, gnadenlos;relentlessly;2018-07-03 12:16:56
30;scheußlich, unehelich, schlecht konzipiert;misbegotten;2018-07-03 12:17:12
31;zart, sanft, behutsam, mild, leise, mäßig, sanftmütig, gemächlich;gentle;2018-07-03 12:17:31
32;schwenken, drehen, Drehgelenk, Wirbel (von Wirbelsäule);swivel;2018-07-03 12:17:50
33;erstaunen, überraschen;astonish;2018-07-03 12:18:02
34;geduldig, Patient;patient;2018-07-03 12:18:10
35;belasten, Palme, Handfläche, Sieg;palm;2018-07-03 12:18:22
36;abgewischt, gewischt;wiped;2018-07-03 12:18:28
37;freikaufen, erlösen, gegen Lösegeld freilassen, Lösegeld, Erlösung;ransom;2018-07-03 12:18:53
38;abstürzen, fallen, sinken, ungebremmst fallen;plummet;2018-07-03 12:19:30
39;taumeln, torkeln;lurch;2018-07-03 12:19:39
40;abscheulich, eckelerregend;sickening;2018-07-03 12:20:03
41;Von der Steuer absetzbar;tax deductible;2018-07-03 12:20:26
42;beklagen, jammern, lamentieren, Trübsahl blasen;lament;2018-07-05 07:01:24
43;Schaum, Schaumstoff, (auf-/über-) schäumen;foam;2018-07-05 07:01:45
44;Leichenwagen;hearse;2018-07-05 07:02:08
45;Intergalaktischer Leichenwagen;hyperhearse;2018-07-05 07:02:28
46;heulen, jaulen, brüllen;howl;2018-07-05 07:02:42
47;widerlich, unerträglich, Ekel erregend;sickeningly;2018-07-05 07:02:55
48;schwanken, torkeln, schaukeln, überreden, beeinflussen;sway;2018-07-05 07:03:09
49;Schnelligkeit;rapidity;2018-07-05 07:03:19
50;teilweise, halb, parzellieren, Paket, Haufen, Stück;parcel;2018-07-05 07:03:48
51;verlassen, stehen lassen, abschaffen, aufgeben, preisgeben, still legen, sitzen lassen;abandon;2018-07-05 07:04:10
52;Stadtrand, Randgebiet, Vorort;outskirts;2018-07-05 07:04:50
53;vernichten, verderben, zerstören;blight;2018-07-05 07:05:00
54;bedeuten, Bedeutung, Anliegen, Sache, Materie;matter;2018-07-05 07:05:10
55;obwohl, jedoch, aber;though;2018-07-05 07:14:24
56;heimtückisch, trügerisch;treacherous;2018-07-05 07:14:37
57;keuchen;wheeze;2018-07-05 07:14:43
58;Wirbel, Strudel;Vortex;2018-07-05 07:14:53
59;Auftakt, Einleitung, Vorspiel;prelude;2018-07-05 07:15:02
60;schielen, blinzeln;squint;2018-07-05 07:15:14
61;räkeln;lol;2018-07-05 07:15:19
62;antik, historisch;ancient;2018-07-05 07:15:24
63;Reibung;friction;2018-07-05 07:15:37
64;Gefühlslosigkeit;callousness;2018-07-05 07:15:47
65;trüb;blearily;2018-07-05 07:15:52
66;vermitteln, schlichten;arbitrate;2018-07-05 07:16:00
67;abwertend;degoratory;2018-07-05 07:16:14
68;prahlen, angeben;boast;2018-07-05 07:16:20
69;belästigt;harassed;2018-07-05 07:16:33
70;unterscheiden;distinguish;2018-07-05 07:16:42
71;absichtlich;on purpose;2018-07-05 07:16:46
72;Ausmaß, Betrag, Größenordnung, Stärke, Menge, Umfang;magnitude;2018-07-05 07:16:59
73;Morgentau;morning dew;2018-07-05 12:27:55
74;spiegelnd;specular;2018-07-05 16:21:04
76;Hallo;Hello;2018-07-06 10:51:55
77;Dampf, Dunst, Wahn, ;Vapor;2018-07-07 15:38:54
78;beharken, bombadieren;strafe;2018-07-10 15:35:55
79;verwirrrend;tangling;2018-07-11 13:42:48
80;Anmerkung, Kommentar, Vermerk;Annotation;2018-07-11 13:43:15
81;Streuung, verstreuend, ausseinandertreibend;scattering;2018-07-11 13:43:52
82;Sieg, Triumph, Erfolg;Victory;2018-07-12 04:46:52
83;Angebot, Vorhaben, anmachen, Behauptung, These, Absicht;proposition;2018-07-13 06:09:53
84;Beleg, Beweis, Hinweis, Nachweis;Evidence;2018-07-15 09:24:28
85;Hauptkomponentenanalyse;Principal Component Analysis;2018-07-15 09:25:02
86;alleine durch denken gewonnen, von der Wahrnehmung unabhängig;a priori;2018-07-15 09:49:16
87;aus Erfahrung, aus Wahrnehmung gewonnen;a posteriori;2018-07-15 09:49:51
88;Abweichung, Ableitung, Herkunft, Herleitung;derivation;2018-07-15 11:39:26
89;einschüchtern, bedrohen ;intimidate;2018-07-16 13:49:47
90;aufdringlich, störend;intrusive;2018-07-16 13:52:36
91;Vorbehalt, Einspruch, Warnung, Mahnung;caveat;2018-07-16 14:28:09
92;Impedanz, hemmen, hindern;impedance;2018-07-17 06:41:31
